Où y-a-t il une boîte à lettres,Var finns det en brevlåda,Courrier,Post
Où se trouve la banque la plus proche,Var ligger närmaste bank,Courrier,Post
Où se trouve le bureau de post le plus proche,Var ligger närmaste postkontor,Courrier,Post
Je voudrais envoyer,Jag skulle vilja skicka,Courrier,Post
C’est combien pour expédier ça en Allemande,Hur mycket kostar detta att skicka till Tyskland,Courrier,Post
Pourrais-je avoir dix timbres-poste pour le Royaume-Uni,Skulle jag kunna få tio Brittiska frimärken,Courrier,Post
Combien ça coûte d’envoyer cette lettre en recommandé,Hur mycket kostar det att skicka detta brev med rekommenderad post,Courrier,Post
Signez ici,Signera här,Courrier,Post
Est-ce que vous savez où on peut changer de l’argent,Vet ni vart man kan växla pengar,Courrier,Post
Je voudrais changer,Jag skulle vilja växla,Courrier,Post
Quelle commission prenez-vous,Vilken provision tar du,Courrier,Post
Je voudrais changer ces chèques de voyage,Jag skulle vilja växla dessa resecheckar,Courrier,Post
Combien on a d’euros pour mille couronnes suédoises,Hur många euro får man för tusen svenska kronor,Courrier,Post
Quel est le taux du change,Vad är växelkursen,Courrier,Post
Je voudrais des petites coupures,Jag skulle vilja ha små sedlar,Courrier,Post
