Est-ce que vous pouvez appeler un médecin,Kan ni ringa efter en läkare,Des maladies,Sjukdomar
Un médecin vite,En läkare snabbt,Des maladies,Sjukdomar
Appelez une ambulance,Ring en ambulans,Des maladies,Sjukdomar
Quelle sont les heures des consultation,Vilka är mottagningstiderna,Des maladies,Sjukdomar
Quand puis-je venir,När kan jag komma,Des maladies,Sjukdomar
Je suis malade,Jag är sjuk,Des maladies,Sjukdomar
Je ne vais pas bien,Jag mår inte bra,Des maladies,Sjukdomar
J’ai mal à la gorge,Jag har ont i halsen,Des maladies,Sjukdomar
J’ai mal à la tête,Jag har ont i huvudet,Des maladies,Sjukdomar
J’ai mal au ventre,Jag har ont i magen,Des maladies,Sjukdomar
J’ai mal au cœur,Jag mår illa,Des maladies,Sjukdomar
J’ai le nez qui coule et je tousse,Jag har snuva och jag hosta,Des maladies,Sjukdomar
Je suis allergique à,Jag är allergisk mot,Des maladies,Sjukdomar
Je suis diabétique,Jag är diabetiker,Des maladies,Sjukdomar
J’ai oublié ma médicament à la maison,Jag har glömt min medicin hemma,Des maladies,Sjukdomar
Je me suis tordu le pied,Jag har vrickat foten,Des maladies,Sjukdomar
Ça fait mal ici,Det gör ont här,Des maladies,Sjukdomar
Vous pouvez me faire une ordonnance,Kan du ge mig ett recept,Des maladies,Sjukdomar
Est-ce que je pourrais avoir un calment pour les douleurs,Skulle jag kunna få ett  lugnande för smärtan,Des maladies,Sjukdomar
Trois fois par jour,Tre gånger per dag,Des maladies,Sjukdomar
Une gélule pour la nuit,En kapsel till natten,Des maladies,Sjukdomar
Est-ce que je peux avoir un certificat pour la sécurité sociale,Kan jag få ett certifikat till försäkringskassan,Des maladies,Sjukdomar
Est-ce que je dois garder la chambre,Måste jag behålla rummet,Des maladies,Sjukdomar
Combien de temps dois-je rester au lit,Hur länge måste jag stanna kvar i sängen,Des maladies,Sjukdomar
