De quel pays êtes-vous,Från vilket land är ni,Langue et nationalité,Språk och nationalitet
Je viens de Suéde,Jag är från Sverige,Langue et nationalité,Språk och nationalitet
Je suis Suédois,Jag är Svensk,Langue et nationalité,Språk och nationalitet
Parlez-vous français,Talar ni franska,Langue et nationalité,Språk och nationalitet
Je ne parle pas français,Jag talar inte franska,Langue et nationalité,Språk och nationalitet
Je ne parle qu’un petit peu français,Jag talar bara lite franska,Langue et nationalité,Språk och nationalitet
Je ne parle pas très bien français mais je comprends un peu,Jag talar inte så bra franska men jag förstår lite,Langue et nationalité,Språk och nationalitet
Est-ce qu’il y a quelqu’un ici qui parle anglais,Finns det någon här som talar engelska,Langue et nationalité,Språk och nationalitet
Pouvez-vous parler un peu plus lentement,Kan ni tala lite långsammare,Langue et nationalité,Språk och nationalitet
Voulez-vous répéter je vous prie,Kan ni repetera om jag får be,Langue et nationalité,Språk och nationalitet
Qu’est-ce que ça veut dire,Vad betyder det,Langue et nationalité,Språk och nationalitet
Comment dit-on en français,Vad heter det på franska,Langue et nationalité,Språk och nationalitet
Comment ça s’écrit,Hur stavas det,Langue et nationalité,Språk och nationalitet
Pouvez-vous épeler,Kan ni bokstavera det,Langue et nationalité,Språk och nationalitet
Qu’est-ce que vous avez dit,Vad sa ni,Langue et nationalité,Språk och nationalitet
