Au revoir,Adjö,Phrases courantes,Vanliga fraser
Je vous présente,Får jag presentera,Phrases courantes,Vanliga fraser
Donnez-moi de vos nouvelles,Hör av er,Phrases courantes,Vanliga fraser
Bonne chance,Lycka till,Phrases courantes,Vanliga fraser
Soyez prudent au volant,Kör försiktigt,Phrases courantes,Vanliga fraser
Heureux de vous avoir rencontré,Trevligt att träffas,Phrases courantes,Vanliga fraser
À bientôt,Ses senare,Phrases courantes,Vanliga fraser
Comment vous appelez-vous,Vad heter ni,Phrases courantes,Vanliga fraser
Je m’appelle,Jag heter,Phrases courantes,Vanliga fraser
À demain,Vi ses imorgon,Phrases courantes,Vanliga fraser
À la semaine prochaine,Vi ses nästa vecka,Phrases courantes,Vanliga fraser
Ça ne fait rein,Det gör inget,Phrases courantes,Vanliga fraser
Un instant,Ett ögonblick,Phrases courantes,Vanliga fraser
Pardon je n’ai pas entendu,Förlåt jag hörde inte,Phrases courantes,Vanliga fraser
Je peux passer,Kan jag komma förbi,Phrases courantes,Vanliga fraser
Où se trouve,Vart ligger ,Phrases courantes,Vanliga fraser
Avec plaisir,Med nöje,Phrases courantes,Vanliga fraser
À l’aide,Hjälp,Phrases courantes,Vanliga fraser
Aidez-moi à,Hjälp mig att,Phrases courantes,Vanliga fraser
À quelle heure,Vid vilken tid,Phrases courantes,Vanliga fraser
Combien ça coûte,Hur mycket kostar det,Phrases courantes,Vanliga fraser
Comment vas-tu,Hur mår du,Phrases courantes,Vanliga fraser
Comment ça va,Hur går det,Phrases courantes,Vanliga fraser
Il y a pas de quoi,Inga problem,Phrases courantes,Vanliga fraser
Pas du tout,Inte alls,Phrases courantes,Vanliga fraser
Oui s’il vous plaît,Ja snälla,Phrases courantes,Vanliga fraser
J’ai besoin de,Jag behöver,Phrases courantes,Vanliga fraser
J’ai froid,Jag fryser,Phrases courantes,Vanliga fraser
Je comprends,Jag förstår,Phrases courantes,Vanliga fraser
Je ne comprends pas,Jag förstår inte,Phrases courantes,Vanliga fraser
J’ai faim,Jag är hungrig,Phrases courantes,Vanliga fraser
J’ai soif,Jag är törstig,Phrases courantes,Vanliga fraser
Je suis fatigué,Jag är trött,Phrases courantes,Vanliga fraser
Je voudrais,Jag skulle vilja ha,Phrases courantes,Vanliga fraser
Bien sûr,Javisst,Phrases courantes,Vanliga fraser
Est-ce que je pourrais avoir,Kan jag få,Phrases courantes,Vanliga fraser
Est-ce que vous pouvez me dire,Kan ni säga mig,Phrases courantes,Vanliga fraser
Est-ce que vous pouvez me montrer,Kan ni visa mig,Phrases courantes,Vanliga fraser
Un peu,Lite,Phrases courantes,Vanliga fraser
Quand puis-je,När kan jag,Phrases courantes,Vanliga fraser
À votre santé,Skål,Phrases courantes,Vanliga fraser
Est-ce que je vous dérange,Stör jag dig,Phrases courantes,Vanliga fraser
Merci vous aussi,Tack detsamma,Phrases courantes,Vanliga fraser
Malheureusement mais heureusement,Tyvärr men självklart,Phrases courantes,Vanliga fraser
Ou’est-ce que tu as dit,Vad sa du,Phrases courantes,Vanliga fraser
Pourquoi pas,Varför inte,Phrases courantes,Vanliga fraser
