Est-ce qu’il y a un téléphone à proximité,Var finns närmaste telefon,Téléphone,Telefon
La réception est mauvaise ici,Mottagningen är dålig här,Téléphone,Telefon
Un instant,Ett ögonblick,Téléphone,Telefon
Veuillez patienter,Vänligen vänta,Téléphone,Telefon
Ça ne répond pas,Det svarar inte,Téléphone,Telefon
Vous êtes trompé de numéro,Du har fel nummer,Téléphone,Telefon
Ne raccrochez pas,Lägg inte på,Téléphone,Telefon
Est-ce que je peux laisser un message,Kan jag lämna ett meddelande,Téléphone,Telefon
Dites que Jacques a téléphoné,Säg att Jacques har ringt,Téléphone,Telefon
Pourrais-je parler à,Skulle jag kunna tala med,Téléphone,Telefon
C’est occupé,Det är upptaget,Téléphone,Telefon
Excusez-moi de vous déranger mais,Ursäkta mig om jag stör dig men,Téléphone,Telefon
Je voudrais téléphoner,Jag skulle vilja ringa,Téléphone,Telefon
Pouvez-vous me donner l’annuaire téléphonique,Kan ni ge mig telefonkatalogen,Téléphone,Telefon
Je rappelle plus tard,Jag ringer senare,Téléphone,Telefon
Je rappelle demain,Jag ringer imorgon,Téléphone,Telefon
