Est-ce que c’est bien la route pour,Är detta väl vägen till,Voyage en voiture,Bilresa
Où se trouve la station-service la plus proche,Var kan jag hitta närmaste bensinstationen,Voyage en voiture,Bilresa
Où se trouve le garage le plus proche,Var kan jag hitta närmaste bilverkstad,Voyage en voiture,Bilresa
Ma voiture est en panne,Min blir är i haveri,Voyage en voiture,Bilresa
Pouvez-vous m’aider,Kan ni hjälpa mig,Voyage en voiture,Bilresa
Pouvez-vous me prendre en remorque,Kan ni bogsera mig,Voyage en voiture,Bilresa
Stop,Stopp,Voyage en voiture,Bilresa
Arrête,Stanna,Voyage en voiture,Bilresa
Quel est le chemin le plus court pour,Vad är den kortaste vägen till,Voyage en voiture,Bilresa
Pouvez-vous me montrer le chemin sur la carte,Kan ni visa mig vägen på kartan,Voyage en voiture,Bilresa
Est-ce qu’il y a un endroit où on peut manger,Finns det en plats där man kan äta,Voyage en voiture,Bilresa
