Au revoir,Adjö,Français 1,Svenska 1
Je vous présente,Får jag presentera,Français 1,Svenska 1
Donnez-moi de vos nouvelles,Hör av er,Français 1,Svenska 1
Bonne chance,Lycka till,Français 1,Svenska 1
Soyez prudent au volant,Kör försiktigt,Français 1,Svenska 1
Heureux de vous avoir rencontré,Trevligt att träffas,Français 1,Svenska 1
À bientôt,Ses senare,Français 1,Svenska 1
Comment vous appelez-vous,Vad heter ni,Français 1,Svenska 1
Je m’appelle,Jag heter,Français 1,Svenska 1
À demain,Vi ses imorgon,Français 1,Svenska 1
À la semaine prochaine,Vi ses nästa vecka,Français 1,Svenska 1
Ça ne fait rein,Det gör inget,Français 1,Svenska 1
Un instant,Ett ögonblick,Français 1,Svenska 1
Pardon je n’ai pas entendu,Förlåt jag hörde inte,Français 1,Svenska 1
Je peux passer,Kan jag komma förbi,Français 1,Svenska 1
Où se trouve,Vart ligger ,Français 1,Svenska 1
Avec plaisir,Med nöje,Français 1,Svenska 1
À l’aide,Hjälp,Français 1,Svenska 1
Aidez-moi à,Hjälp mig att,Français 1,Svenska 1
À quelle heure,Vid vilken tid,Français 1,Svenska 1
Combien ça coûte,Hur mycket kostar det,Français 1,Svenska 1
Comment vas-tu,Hur mår du,Français 1,Svenska 1
Comment ça va,Hur går det,Français 1,Svenska 1
Il y a pas de quoi,Inga problem,Français 1,Svenska 1
Pas du tout,Inte alls,Français 1,Svenska 1
Oui s’il vous plaît,Ja snälla,Français 1,Svenska 1
J’ai besoin de,Jag behöver,Français 1,Svenska 1
J’ai froid,Jag fryser,Français 1,Svenska 1
Je comprends,Jag förstår,Français 1,Svenska 1
Je ne comprends pas,Jag förstår inte,Français 1,Svenska 1
J’ai faim,Jag är hungrig,Français 1,Svenska 1
J’ai soif,Jag är törstig,Français 1,Svenska 1
Je suis fatigué,Jag är trött,Français 1,Svenska 1
Je voudrais,Jag skulle vilja ha,Français 1,Svenska 1
Bien sûr,Javisst,Français 1,Svenska 1
Est-ce que je pourrais avoir,Kan jag få,Français 1,Svenska 1
Est-ce que vous pouvez me dire,Kan ni säga mig,Français 1,Svenska 1
Est-ce que vous pouvez me montrer,Kan ni visa mig,Français 1,Svenska 1
Un peu,Lite,Français 1,Svenska 1
Quand puis-je,När kan jag,Français 1,Svenska 1
À votre santé,Skål,Français 1,Svenska 1
Est-ce que je vous dérange,Stör jag dig,Français 1,Svenska 1
Merci vous aussi,Tack detsamma,Français 1,Svenska 1
Malheureusement mais heureusement,Tyvärr men självklart,Français 1,Svenska 1
Ou’est-ce que tu as dit,Vad sa du,Français 1,Svenska 1
Pourquoi pas,Varför inte,Français 1,Svenska 1
Entrée et sortie,Ingång och utgång,Français 1,Svenska 1
Chaud et libre,Varm och fri,Français 1,Svenska 1
Défense de fumer,Rökning förbjudet,Français 1,Svenska 1
Autorisation de fumer,Rökning tillåtet,Français 1,Svenska 1
Fermé et ouvert,Stängt och öppet,Français 1,Svenska 1
Tournez à droite et puis allez tous droit vers la village à gauche,Sväng höger och gå sedan rakt mot byn till vänster,Français 1,Svenska 1
