De quel pays êtes-vous,Från vilket land är ni,Svenska 2
Je viens de Suéde,Jag är från Sverige,Svenska 2
Je suis Suédois,Jag är Svensk,Svenska 2
Parlez-vous français,Talar ni franska,Svenska 2
Je ne parle pas français,Jag talar inte franska,Svenska 2
Je ne parle qu’un petit peu français,Jag talar bara lite franska,Svenska 2
Je ne parle pas très bien français mais je comprends un peu,Jag talar inte så bra franska men jag förstår lite,Svenska 2
Est-ce qu’il y a quelqu’un ici qui parle anglais,Finns det någon här som talar engelska,Svenska 2
Pouvez-vous parler un peu plus lentement,Kan ni tala lite långsammare,Svenska 2
Voulez-vous répéter je vous pire,Kan ni repitera om jag får be,Svenska 2
Qu’est-ce que ça veut dire,Vad betyder det,Svenska 2
Comment dit-on en français,Vad heter det på franska,Svenska 2
Comment ça s’écrit,Hur stavas det,Svenska 2
Pouvez-vous épeler,Kan ni bokstavera det,Svenska 2
Qu’est-ce que vous avez dit,Vad sa ni,Svenska 2
Quelle heure est-il,Hur mycket är klockan,Svenska 2
On se voit à deux heures,Vi ses klockan två,Svenska 2
Il est deux heures cinq,Klockan är fem över två,Svenska 2
Il est trois heures et quart,Klockan är kvart över tre,Svenska 2
Il est six heures vingt-cinq,Klockan är fem i halv sex,Svenska 2
Il est huit heures et demie,Klockan är halv åtta,Svenska 2
Il est quatre heures moins le quart,Klockan är kvart i fyra,Svenska 2
Il est neuf heures et quart,Klockan är kvart över nio,Svenska 2
Il est dix heures,Klockan är tio,Svenska 2
Un neuf cinq dix onze quatorze quinze vingt treize,Ett nio fem tio elva fjorton femton tjugo tretton,Svenska 2
Sept douze trente-deux cinquante soixante-dix quatre-vingt-un,Sju tolv trettiotvå femtio sjutio åttioett,Svenska 2
Quarante vingt-et-un seize dix-neuf dix-sept dix-huit cent,Fyrtio tjugoett sexton nitton sjutton arton hundra,Svenska 2
Quatre-vingt-dix-un quatre-et-un vingt-cinq quatre-vingt-douze,Nittioett fyrtioett tjugofem nittiotvå,Svenska 2
Soixante-et-un soixante-dix-un cinquante-cinq quarante-neuf,Sextioett sjuttioett femtiofem fyrtionio,Svenska 2
Cent-deux deux-cent-un trois-cent-dix-neuf ,Hundraett tvåhundra trehundranitton,Svenska 2
Neuf-cent-soixante-dix-et-un mille-cent-dix-neuf,Niohundrasjuttiosju ettusenhundranitton,Svenska 2
Trois-mille-un neuf-millions-cinq-mille-six-cent-dix-neuf,Tretusenett nio-miljoner-femfem-tusen-sexhundranitton,Svenska 2
Puis-je voir votre passeport s’il vous plaît,Kan jag få se på ert pass,Svenska 2
Quelle est la durée de votre séjour,Hur länge har ni tänkt att stanna,Svenska 2
Veuillez remplir ce formulaire,Vänligen fyll i detta formuläret,Svenska 2
Avez-vous quelque chose à déclarer,Har ni något att deklarera,Svenska 2
Je n’ai rien à déclarer,Jag har inget att deklarera,Svenska 2
Veuillez ouvrir cette valise,Vänligen öppna denna resväska,Svenska 2
Avez-vous des cigarettes ou de l’alcool,Har ni cigaretter eller alkohol,Svenska 2
Où se trouve le bureau de change ,Vart ligger växelkontoret,Svenska 2
Où se trouve l’office du tourisme le plus proche,Vart ligger närmaste turistbyrå,Svenska 2
Le plus proche ,Närmaste,Svenska 2
Où se trouve l’ambassade de Suède,Vart ligger Svenska ambassaden,Svenska 2
Combien de temps prend le voyage,Hur lång tid tar resan,Svenska 2
À quelle heure arrive-t-on à,Vid vilken tid anländer vi vid,Svenska 2
Je voudrais décommander ce billet,Jag skulle vilja avbeställa denna biljett,Svenska 2
Quand part le bus le bateau l’avion le train pour,När avgår bussen båten flyget tåget till,Svenska 2
Quel bus dois-je prendre pour aller à,Vilken buss ska jag ta för att komma till,Svenska 2
Est-ce qu’il faut changer,Måste man byta,Svenska 2
Où se trouve l’arrêt de bus le plus proche,Vart ligger närmaste busshållplats,Svenska 2
Je vais à,Jag ska till,Svenska 2
Est-ce que vous pouvez me signaler quand je dois descendre,Kan ni säga till när jag ska stiga utav,Svenska 2
Tout droit et ensuite à gauche et puis à droite ,Rakt fram och sedan till vänster och sedan till höger,Svenska 2
Pouvez-vous m’appeler un taxi s’il vous plaît,Kan ni ringa en taxi snälla,Svenska 2
Pouvez-vous me conduire à,Kan ni köra mig till,Svenska 2
